,lon,lat,n_mb_years,tstar,bias
RGI60-11.00002,13.6135,47.4845,9,1966,-10.768642551122184
RGI60-11.00012,13.0581,47.4242,10,1966,-4.093112253181289
RGI60-11.00073,12.5956,47.1403,17,1944,0.26801219510207375
RGI60-11.00080,12.5964,47.1316,65,1930,18.39651443417887
RGI60-11.00106,12.6967,47.0991,29,1923,4.980067542312781
RGI60-11.00190,12.3784,47.0851,9,1978,4.862247765227721
RGI60-11.00251,12.9472,47.053,16,1983,0.5881406572948435
RGI60-11.00289,12.9702,47.0421,26,1950,-1.7320996968277313
RGI60-11.00300,13.0049,47.0385,33,1927,-18.00907536236707
RGI60-11.00603,11.2247,46.9656,21,1925,138.48416822896183
RGI60-11.00619,11.1528,46.9566,15,1979,-1.3421408455935762
RGI60-11.00638,9.38896,46.9603,9,1925,262.83705680150956
RGI60-11.00647,12.0965,46.9069,8,1970,-0.19465463130154603
RGI60-11.00719,10.818,46.8762,52,1951,-3.2657396608775002
RGI60-11.00781,10.1603,46.8577,27,1925,109.32407264920892
RGI60-11.00787,10.7907,46.8424,64,1985,0.6662360004620496
RGI60-11.00797,10.1054,46.8515,9,1919,-4.059580837938711
RGI60-11.00804,10.0766,46.8524,98,1921,-4.0474687993256
RGI60-11.00807,10.1309,46.8529,9,1925,339.2443251930807
RGI60-11.00843,8.89117,46.8442,101,1980,7.787689727009791
RGI60-11.00892,8.98871,46.833,42,1929,1.1434593245945166
RGI60-11.00897,10.7584,46.8003,64,1923,-1.3285208637198593
RGI60-11.00918,8.97739,46.8133,38,1921,-5.041609712706446
RGI60-11.00929,11.0191,46.7817,8,1923,1.8476272160205554
RGI60-11.01238,8.3965,46.6236,17,1919,-2.5525351604244406
RGI60-11.01450,8.01919,46.5028,60,1925,152.1411589831534
RGI60-11.01662,9.36354,46.5056,6,1934,1.1600234843511998
RGI60-11.01704,10.771,46.4838,30,1927,3.794913189931208
RGI60-11.01776,10.6115,46.4674,12,1968,0.8221441949574455
RGI60-11.01834,10.7085,46.4512,50,1917,407.3583673796311
RGI60-11.01876,8.33019,46.4383,55,1925,147.31054540260993
RGI60-11.01930,10.1119,46.4296,6,1917,-1.6600254042677989
RGI60-11.01987,8.4812,46.416,24,1939,-6.62872075546511
RGI60-11.02072,7.51198,46.3839,6,1925,516.9401882625843
RGI60-11.02214,10.5127,46.348,14,1920,-18.693480824295534
RGI60-11.02245,9.70108,46.3085,6,1926,509.2934677184222
RGI60-11.02249,7.22536,46.3202,6,1925,743.5224017322817
RGI60-11.02285,9.64185,46.2987,6,1926,403.15503724743405
RGI60-11.02648,9.98941,46.0754,6,1992,6.729116112923975
RGI60-11.02671,7.9245,46.0649,40,1970,-0.3835599481808458
RGI60-11.02679,7.9131,46.055,60,1948,1.2170619769408972
RGI60-11.02704,7.90949,46.0336,60,1944,0.7414257876326928
RGI60-11.02746,7.92806,46.0081,60,1960,3.0528167030496434
RGI60-11.02764,7.87661,46.0124,10,2001,-39.73883989697816
RGI60-11.02766,7.29108,45.9647,19,1931,-6.837473430130103
RGI60-11.02773,7.87051,45.9936,11,1994,-9.287791100675463
RGI60-11.02774,7.38888,45.9921,49,1982,4.023163508729795
RGI60-11.03084,7.27894,45.5592,15,1993,16.62644941119902
RGI60-11.03135,7.38984,45.5181,24,1920,3.95660208715708
RGI60-11.03166,7.2204,45.4757,13,1988,-2.71208945276544
RGI60-11.03209,0.639342666,42.648979187,25,1982,-11.694827334378033
RGI60-11.03232,-0.141221896,42.771190643,14,1921,3.9225152875080767
RGI60-11.03241,13.56671,42.47054,21,1946,0.6083808992142394
RGI60-11.03246,10.982920789,47.415938932,6,1993,3.3813701443735624
RGI60-11.03638,6.985,45.951,40,1925,288.58075759402243
RGI60-11.03643,6.934,45.883,8,1970,1.3258245532838373
RGI60-11.03671,6.629,45.295,21,1981,0.16668131481333148
RGI60-11.03674,6.159,45.16,59,1926,191.71637092823892
RGI60-11.03756,6.130521774,45.116443634,68,1922,442.04198992479064
